"host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bedrooms","beds","price","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_location","review_scores_value","instant_bookable","reviews_per_month","host_since_season","host_since_year","host_response_rate_cat","host_acceptance_rate_cat"
"within an hour",FALSE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",6,3,4,85,5,1125,23,53,83,324,382,12,0,89,9,9,9,9,TRUE,3.34,"Autumn","2010","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Eixample","Entire home/apt",6,2,4,123,2,90,30,58,88,350,51,8,0,85,9,8,10,9,TRUE,0.6,"Autumn","2010","very high","very high"
"within an hour",FALSE,28,TRUE,TRUE,"Eixample","Entire home/apt",7,4,7,101,1.9,27,0,0,0,0,83,5,0,85,8,9,9,8,TRUE,0.75,"Spring","2010","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,2,49,2,730,30,60,90,365,90,10,0,95,9,9,10,9,FALSE,0.79,"Winter","2011","Unknown","high"
"a few days or more",TRUE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,52,1,1125,15,43,73,348,369,26,0,94,10,10,10,9,TRUE,3.18,"Winter","2011","low","very high"
"Unknown",FALSE,1,FALSE,FALSE,"Gràcia","Entire home/apt",9,3,5,207,5,28,28,58,88,363,1,0,0,100,8,10,8,10,FALSE,0.01,"Winter","2011","Unknown","very low"
"within a few hours",FALSE,10,TRUE,TRUE,"Eixample","Entire home/apt",2,1,1,80,2,1125,26,56,86,351,49,2,0,83,8,9,9,8,TRUE,0.43,"Winter","2011","very high","average"
"within a few hours",FALSE,10,TRUE,TRUE,"Eixample","Entire home/apt",4,2,4,390,3,1125,30,60,90,365,37,0,0,93,10,10,10,9,FALSE,0.32,"Winter","2011","very high","average"
"within a day",FALSE,6,TRUE,FALSE,"Ciutat Vella","Entire home/apt",5,4,5,60,32,730,30,60,90,365,11,0,0,80,8,7,8,8,FALSE,0.1,"Winter","2011","high","very low"
"within an hour",TRUE,6,TRUE,TRUE,"Sant Martí","Entire home/apt",2,1,1,89,3.9,1125,29,59,89,356,311,83,15,96,9,10,10,9,TRUE,4.24,"Winter","2011","very high","very high"
"within a day",FALSE,6,TRUE,FALSE,"Ciutat Vella","Entire home/apt",2,1,2,50,32,1000,30,60,90,365,2,0,0,100,10,8,8,8,FALSE,0.02,"Winter","2011","high","very low"
"within a day",FALSE,6,TRUE,FALSE,"Ciutat Vella","Entire home/apt",2,2,2,50,32,1125,30,60,90,365,8,0,0,87,8,8,8,8,FALSE,0.07,"Winter","2011","high","very low"
"within an hour",FALSE,13,TRUE,TRUE,"Ciutat Vella","Entire home/apt",5,2,4,99,3.3,1125,6,6,29,288,117,15,0,87,9,9,10,9,FALSE,1.33,"Winter","2011","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Gràcia","Entire home/apt",12,4,14,218,2,30,0,0,0,0,164,7,0,91,9,9,10,9,TRUE,1.46,"Spring","2010","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Eixample","Entire home/apt",5,2,3,110,2,90,30,47,77,341,42,6,1,82,9,8,10,8,TRUE,0.43,"Autumn","2010","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",5,2,2,100,2,90,30,60,90,360,49,9,1,83,9,8,10,8,TRUE,0.64,"Autumn","2010","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,2,2,78.86,2,90,23,49,79,347,84,12,0,82,9,7,9,8,TRUE,0.86,"Autumn","2010","very high","very high"
"within an hour",FALSE,105,TRUE,TRUE,"Eixample","Entire home/apt",5,2,3,84,2.5,365,30,60,90,354,20,9,1,90,9,9,10,9,TRUE,0.18,"Winter","2011","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Sant Martí","Entire home/apt",6,3,6,115,3.3,330,0,0,0,0,30,2,0,89,9,9,9,9,FALSE,0.29,"Winter","2011","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",5,3,3,150,1,1125,30,60,90,99,127,6,0,91,10,10,10,9,FALSE,1.13,"Winter","2011","Unknown","high"
"Unknown",FALSE,0,TRUE,TRUE,"Eixample","Private room",2,1,0,40,3,365,29,59,89,89,107,5,0,87,9,9,9,8,FALSE,0.94,"Spring","2011","Unknown","average"
"within an hour",TRUE,6,TRUE,TRUE,"Ciutat Vella","Entire home/apt",9,3,8,240,4.9,1000,30,60,90,356,16,1,0,91,9,9,9,8,TRUE,0.17,"Spring","2011","very high","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",4,1,2,121,3,1125,26,49,79,347,336,26,0,96,10,10,10,10,TRUE,3.14,"Spring","2011","very high","very high"
"within an hour",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,0,62.86,2,365,30,60,90,365,232,12,0,94,10,10,10,9,FALSE,2.04,"Spring","2011","very high","high"
"within a day",TRUE,1,TRUE,FALSE,"Gràcia","Entire home/apt",2,1,1,40,32,1125,29,59,89,364,64,0,0,95,10,10,9,9,FALSE,0.6,"Spring","2011","very high","very low"
"within an hour",TRUE,2,TRUE,TRUE,"Ciutat Vella","Entire home/apt",3,1,2,57,26.2,1125,2,23,43,312,58,7,1,92,9,9,10,9,TRUE,0.58,"Spring","2011","very high","very high"
"within an hour",TRUE,0,TRUE,TRUE,"Eixample","Private room",2,1,1,22,2,1125,22,46,76,351,202,21,0,89,9,8,10,9,TRUE,1.84,"Spring","2011","very high","very high"
"within a few hours",TRUE,2,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",8,4,6,180,2.7,90,0,18,48,297,62,14,0,95,10,10,10,9,FALSE,0.56,"Spring","2011","very high","very high"
"within an hour",FALSE,105,TRUE,TRUE,"Gràcia","Entire home/apt",4,1,2,84,2.5,365,24,51,81,356,6,4,1,80,7,9,9,8,TRUE,0.34,"Winter","2011","very high","very high"
"within an hour",FALSE,105,TRUE,TRUE,"Gràcia","Entire home/apt",4,1,2,79,2.5,365,29,37,67,342,24,14,1,90,9,9,10,9,TRUE,0.24,"Winter","2011","very high","very high"
"within an hour",FALSE,105,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,1,3,79,2.5,365,27,57,87,355,28,14,0,91,10,10,10,9,TRUE,0.26,"Winter","2011","very high","very high"
"within an hour",FALSE,13,TRUE,TRUE,"Eixample","Entire home/apt",8,3,6,137,3.5,567.7,26,56,86,182,80,1,0,84,9,9,10,9,FALSE,0.72,"Spring","2011","very high","high"
"within an hour",FALSE,13,TRUE,TRUE,"Eixample","Entire home/apt",8,3,5,137,2.5,28,30,60,90,186,35,0,0,90,9,9,10,9,FALSE,0.32,"Spring","2011","very high","high"
"within an hour",FALSE,13,TRUE,TRUE,"Eixample","Entire home/apt",6,3,5,131,2.5,28,30,60,90,186,15,0,0,87,8,9,10,9,FALSE,0.14,"Spring","2011","very high","high"
"Unknown",TRUE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,70,3,7,27,57,83,352,316,16,0,97,10,10,10,10,FALSE,2.81,"Spring","2011","Unknown","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Sants-Montjuïc","Private room",2,1,1,50,3,1125,29,59,89,345,282,26,0,97,10,10,10,10,TRUE,2.58,"Spring","2011","very high","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Sant Martí","Private room",2,1,1,37.47,2,28,0,0,0,0,105,5,0,94,10,10,9,9,TRUE,1.36,"Spring","2011","very high","very high"
"within a day",FALSE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",5,2,3,144,2,365,28,55,85,353,127,7,0,93,9,9,10,9,FALSE,1.17,"Spring","2011","high","low"
"Unknown",FALSE,5,TRUE,TRUE,"Les Corts","Private room",2,1,1,55,30,1125,30,60,90,365,128,1,0,92,9,9,10,9,FALSE,1.18,"Spring","2011","Unknown","very low"
"within an hour",FALSE,13,TRUE,TRUE,"Eixample","Entire home/apt",6,3,5,129,3,28,0,0,0,0,90,4,0,93,10,10,10,9,FALSE,1.77,"Spring","2011","very high","high"
"within a few hours",TRUE,9,TRUE,TRUE,"Ciutat Vella","Entire home/apt",3,2,2,44,31,99,29,59,89,364,27,0,0,87,9,8,10,9,FALSE,0.25,"Spring","2011","very high","very high"
"Unknown",FALSE,0,TRUE,TRUE,"Eixample","Private room",2,1,0,40,3,365,29,59,89,89,36,1,0,85,8,9,9,8,FALSE,0.32,"Spring","2011","Unknown","average"
"within an hour",FALSE,2,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,1,2,80,28,360,30,60,90,90,48,0,0,95,10,9,10,9,FALSE,0.44,"Spring","2011","very high","very high"
"within an hour",FALSE,1,TRUE,FALSE,"Horta-Guinardó","Private room",1,1,1,14,4,1125,1,31,61,331,97,9,0,83,9,9,9,9,TRUE,1.51,"Spring","2011","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Ciutat Vella","Private room",1,1,1,65,2,4,0,0,0,0,7,2,0,100,10,10,10,10,TRUE,0.47,"Summer","2011","Unknown","very high"
"within a day",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,50,3,1125,28,58,84,359,282,16,0,90,9,9,10,9,TRUE,2.6,"Summer","2011","very high","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Eixample","Private room",1,1,1,39,7,45,17,47,77,167,80,5,0,98,10,10,10,9,TRUE,0.73,"Spring","2011","Unknown","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Eixample","Private room",1,1,1,40,2,365,30,60,90,365,0,0,0,90,10,9,10,9,FALSE,1.5,"Summer","2011","Unknown","Unknown"
"within a day",FALSE,4,TRUE,TRUE,"Les Corts","Entire home/apt",8,4,5,229,1.2,365,0,0,0,0,116,0,0,89,9,9,9,9,TRUE,1.05,"Summer","2011","high","very high"
"within an hour",FALSE,13,TRUE,TRUE,"Eixample","Entire home/apt",8,3,6,137,2.5,28,30,60,90,186,41,0,0,90,9,9,10,9,FALSE,0.4,"Spring","2011","very high","high"
"within an hour",FALSE,2,TRUE,TRUE,"Ciutat Vella","Entire home/apt",8,3,6,200,31,365,30,60,90,365,10,10,0,96,7,9,7,8,FALSE,1.6,"Spring","2011","very high","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Ciutat Vella","Entire home/apt",10,5,7,264,120,365,26,56,86,361,25,0,0,93,9,9,10,9,FALSE,0.24,"Spring","2011","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Sant Martí","Entire home/apt",6,2,4,105,3.3,330,0,0,0,0,44,5,0,95,10,10,9,9,FALSE,0.5,"Winter","2011","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Sant Martí","Entire home/apt",6,2,4,99,4,330,23,45,75,344,10,0,0,89,9,9,10,8,FALSE,0.11,"Winter","2011","very high","very high"
"within an hour",FALSE,13,TRUE,TRUE,"Eixample","Entire home/apt",8,3,6,135,2.5,28,0,0,0,0,10,10,0,98,9,9,10,9,FALSE,0.91,"Spring","2011","very high","high"
"within a few hours",FALSE,3,TRUE,TRUE,"Sant Andreu","Private room",1,3,1,22,7,730,0,0,0,0,10,1,0,96,10,10,10,10,FALSE,0.52,"Summer","2011","high","low"
"within a few hours",FALSE,3,TRUE,TRUE,"Sant Andreu","Private room",1,3,0,20,10,730,24,54,84,174,6,0,0,93,10,9,9,10,FALSE,0.06,"Summer","2011","high","low"
"Unknown",FALSE,3,TRUE,FALSE,"Sants-Montjuïc","Private room",2,1,1,27,3,11,0,0,0,0,50,0,0,91,9,9,9,9,FALSE,0.46,"Summer","2011","Unknown","very low"
"within an hour",TRUE,1,TRUE,TRUE,"Sant Martí","Private room",2,1,1,43.29,2,12,0,0,0,1,291,26,0,97,10,10,10,10,TRUE,2.64,"Summer","2011","very high","very high"
"within a day",TRUE,3,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,50,6,1125,22,25,31,85,47,0,0,97,10,10,10,10,FALSE,0.43,"Summer","2011","very high","very high"
"Unknown",TRUE,1,TRUE,FALSE,"Sant Martí","Entire home/apt",2,2,1,36,32,363,0,0,0,0,11,1,0,98,10,10,10,10,FALSE,0.22,"Summer","2011","Unknown","low"
"within a few hours",FALSE,10,TRUE,TRUE,"Eixample","Entire home/apt",6,3,3,137,2,1125,30,60,90,365,81,3,0,94,9,10,10,9,TRUE,0.75,"Winter","2011","very high","average"
"Unknown",FALSE,1,TRUE,FALSE,"Les Corts","Private room",2,1,1,46,7,15,0,0,0,0,1,0,0,100,10,10,10,10,FALSE,0.02,"Summer","2011","Unknown","Unknown"
"Unknown",TRUE,1,TRUE,TRUE,"Horta-Guinardó","Private room",1,1,1,20,3,60,24,54,84,359,126,6,0,98,10,10,9,10,FALSE,1.15,"Summer","2011","Unknown","high"
"within an hour",FALSE,1,TRUE,TRUE,"Sant Martí","Private room",2,1,1,21,2,1125,0,0,0,0,346,39,2,93,10,10,10,10,TRUE,3.24,"Summer","2011","very high","very high"
"within an hour",FALSE,13,TRUE,TRUE,"Eixample","Entire home/apt",8,4,5,137,2.5,567.7,30,56,86,179,92,4,0,88,8,9,10,9,FALSE,0.84,"Spring","2011","very high","high"
"within an hour",FALSE,5,TRUE,TRUE,"Gràcia","Entire home/apt",3,1,2,25,31,1125,6,6,6,210,343,14,0,90,9,9,9,9,TRUE,3.24,"Spring","2011","very high","very high"
"within an hour",FALSE,21,TRUE,TRUE,"Sant Martí","Entire home/apt",8,4,6,458,1.5,365,25,55,81,125,60,5,0,93,10,9,9,9,TRUE,0.59,"Summer","2011","very high","very high"
"within an hour",FALSE,21,TRUE,TRUE,"Eixample","Entire home/apt",6,2,4,84,1.2,365,30,31,31,31,86,18,0,90,9,9,10,9,TRUE,0.79,"Summer","2011","very high","very high"
"Unknown",TRUE,1,TRUE,FALSE,"Eixample","Private room",2,1,1,48,1,90,23,47,68,343,95,8,0,96,10,10,10,10,FALSE,1.11,"Winter","2011","Unknown","high"
"within an hour",FALSE,8,TRUE,TRUE,"Gràcia","Entire home/apt",4,2,2,108,3,548,0,22,52,321,171,11,1,93,10,10,10,9,TRUE,1.61,"Summer","2011","very high","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",2,1,1,85,3,365,26,26,26,258,89,5,0,97,10,10,10,10,FALSE,0.83,"Summer","2011","Unknown","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Gràcia","Entire home/apt",3,2,2,119,2,1125,0,10,39,314,257,19,0,95,10,9,10,9,FALSE,2.76,"Summer","2011","Unknown","very high"
"within a day",FALSE,5,TRUE,TRUE,"Sant Andreu","Entire home/apt",5,1,3,85,3,730,0,0,0,0,20,13,4,51,6,6,6,5,FALSE,1.46,"Summer","2011","very high","average"
"within a few hours",FALSE,3,TRUE,TRUE,"Ciutat Vella","Private room",2,1,0,30,180,180,30,60,90,365,290,14,0,88,9,8,10,9,FALSE,2.88,"Summer","2011","very high","very high"
"within an hour",TRUE,4,TRUE,TRUE,"Gràcia","Private room",2,1,0,55,2,365,29,59,89,364,50,2,0,98,10,10,10,10,FALSE,0.47,"Summer","2011","very high","very high"
"within a few hours",FALSE,3,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,35,3,180,30,60,90,365,240,11,0,83,8,7,10,8,FALSE,2.3,"Summer","2011","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Sants-Montjuïc","Private room",2,1,1,40,4,14,30,60,90,365,144,14,0,93,9,10,9,9,TRUE,1.44,"Summer","2011","Unknown","very high"
"within a day",TRUE,2,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,42,3,365,0,0,0,266,288,3,0,97,10,10,10,10,FALSE,2.74,"Summer","2011","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Gràcia","Private room",2,1,1,40,2,365,0,8,38,313,18,2,0,98,9,9,10,10,FALSE,0.18,"Autumn","2011","Unknown","very low"
"within an hour",TRUE,2,TRUE,TRUE,"Gràcia","Entire home/apt",2,1,2,140,3,1125,0,0,0,0,294,25,0,96,10,10,10,9,FALSE,2.87,"Autumn","2012","very high","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",4,1,2,55,10.1,1125,22,52,82,91,47,14,0,91,10,9,10,8,FALSE,0.93,"Autumn","2011","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Gràcia","Private room",5,1,3,53,1,365,30,60,90,365,110,0,0,94,9,9,10,9,FALSE,1.02,"Autumn","2011","Unknown","Unknown"
"within an hour",FALSE,13,TRUE,TRUE,"Eixample","Entire home/apt",8,3,5,137,2.5,29,30,60,90,186,63,1,0,87,9,9,10,9,FALSE,0.84,"Spring","2011","very high","high"
"within an hour",FALSE,4,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",8,3,6,133,1,1125,30,60,90,359,27,1,0,83,8,9,9,9,TRUE,0.4,"Autumn","2011","very high","very high"
"within a day",FALSE,15,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,3,4,55,33,360,28,58,88,363,4,0,0,90,7,7,10,8,FALSE,0.04,"Spring","2014","very high","high"
"within a few hours",FALSE,24,TRUE,TRUE,"Ciutat Vella","Entire home/apt",5,3,5,45,50,330,29,59,89,364,4,2,0,70,7,9,10,8,FALSE,0.04,"Autumn","2011","very high","very high"
"a few days or more",FALSE,4,TRUE,FALSE,"Eixample","Private room",2,1,2,60,5,30,0,0,1,149,47,0,0,77,8,9,9,8,TRUE,0.62,"Autumn","2011","very low","very low"
"within an hour",FALSE,164,TRUE,TRUE,"Sant Martí","Entire home/apt",6,3,4,112,2.3,1125,29,59,89,133,114,8,0,90,9,9,9,9,FALSE,1.1,"Autumn","2011","very high","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,44,360,365,30,60,90,365,0,0,0,60,2,2,6,2,FALSE,0.07,"Spring","2011","very high","very high"
"within a few hours",FALSE,24,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,1,2,33,32,330,8,8,8,246,16,3,1,84,8,8,9,8,FALSE,0.15,"Autumn","2011","very high","very high"
"within an hour",TRUE,2,TRUE,TRUE,"Gràcia","Private room",1,1,1,23,7,1125,5,5,29,304,49,5,0,96,10,9,9,10,FALSE,0.48,"Autumn","2011","very high","very high"
"within a day",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",1,1,1,40,3,1125,8,38,64,339,253,21,0,92,9,10,10,9,TRUE,2.41,"Summer","2011","very high","very high"
"Unknown",FALSE,2,TRUE,FALSE,"Ciutat Vella","Private room",2,1,1,40,3,30,29,59,89,364,156,11,0,88,9,9,10,9,TRUE,1.55,"Autumn","2011","Unknown","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Ciutat Vella","Private room",3,1,2,38,3,45,25,55,85,360,108,6,0,91,10,9,10,10,FALSE,1.07,"Autumn","2011","Unknown","very high"
"within a few hours",FALSE,3,TRUE,TRUE,"Sant Martí","Entire home/apt",6,3,4,75,2.9,90,30,50,74,338,242,20,1,92,10,9,10,10,FALSE,2.34,"Autumn","2011","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,80,3,31,13,43,73,73,163,9,0,90,9,8,10,9,FALSE,1.64,"Autumn","2011","Unknown","very high"
"within a few hours",FALSE,3,TRUE,TRUE,"Ciutat Vella","Entire home/apt",10,4,6,4000,2,14,24,48,78,351,24,3,0,96,10,10,10,10,TRUE,0.24,"Autumn","2011","high","very high"
"within an hour",FALSE,15,TRUE,TRUE,"Eixample","Entire home/apt",6,3,3,156,12.4,260.4,30,53,82,204,10,2,1,84,9,9,10,9,TRUE,0.1,"Autumn","2011","very high","very high"
"within an hour",FALSE,15,TRUE,TRUE,"Eixample","Entire home/apt",6,3,3,143,11.4,261.7,25,55,85,207,9,0,0,76,8,8,8,8,TRUE,0.2,"Autumn","2011","very high","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Eixample","Private room",2,1,0,40,2,4,0,5,9,45,205,20,0,89,10,9,10,9,TRUE,2.45,"Autumn","2011","Unknown","very high"
"within a day",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",3,1,1,51,7,760,30,60,90,365,54,9,0,93,10,9,9,9,FALSE,1.67,"Autumn","2011","very high","high"
"within an hour",TRUE,2,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,59,1.2,10,20,46,72,162,442,28,1,96,10,10,10,9,FALSE,4.15,"Autumn","2011","very high","very high"
"Unknown",FALSE,0,TRUE,FALSE,"Ciutat Vella","Private room",2,1,1,61,2,6,0,0,0,0,42,0,0,87,8,8,10,9,TRUE,0.4,"Autumn","2011","Unknown","Unknown"
"within an hour",FALSE,4,TRUE,TRUE,"Gràcia","Entire home/apt",3,2,1,51,31,1125,25,51,76,312,13,0,0,98,10,9,10,9,TRUE,0.12,"Summer","2010","very high","high"
"within an hour",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",8,3,6,299,1.1,1125,18,48,78,252,297,25,0,99,10,10,10,10,FALSE,2.99,"Autumn","2011","very high","very high"
"within a few hours",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",2,1,0,66,5,1125,5,35,43,128,136,11,1,92,10,10,10,9,FALSE,1.35,"Autumn","2011","very high","very high"
"within a few hours",FALSE,38,TRUE,TRUE,"Eixample","Entire home/apt",4,2,2,80,3,365,0,24,54,110,175,19,0,92,10,9,10,9,FALSE,1.68,"Autumn","2011","very high","very high"
"within an hour",FALSE,22,TRUE,TRUE,"Eixample","Entire home/apt",6,3,4,101,3,1125,30,60,90,365,97,6,0,94,10,10,10,9,TRUE,0.99,"Autumn","2011","very high","very high"
"within an hour",FALSE,22,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",6,3,6,124,3,365,0,0,0,213,41,2,0,93,9,9,9,9,TRUE,0.41,"Autumn","2011","very high","very high"
"within an hour",FALSE,22,TRUE,TRUE,"Ciutat Vella","Entire home/apt",5,3,4,115,32,365,30,60,90,365,50,1,0,92,9,9,10,9,TRUE,0.63,"Autumn","2011","very high","very high"
"within an hour",FALSE,22,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,1,1,86,32,365,30,60,90,173,9,0,0,80,8,9,9,8,FALSE,0.09,"Autumn","2011","very high","very high"
"within a day",FALSE,2,TRUE,TRUE,"Gràcia","Entire home/apt",4,2,4,91,5,1125,30,60,90,328,59,8,0,87,9,9,10,9,FALSE,0.58,"Autumn","2011","very high","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Gràcia","Entire home/apt",6,2,5,63,2,1125,27,57,87,114,366,48,5,92,10,9,9,9,TRUE,3.52,"Autumn","2011","very high","very high"
"Unknown",FALSE,3,TRUE,TRUE,"Ciutat Vella","Private room",3,1,2,34,2,1125,15,45,75,255,147,9,0,91,9,9,10,9,FALSE,1.42,"Autumn","2011","Unknown","very high"
"within an hour",TRUE,3,TRUE,TRUE,"Eixample","Entire home/apt",6,2,4,250,4,30,30,56,86,354,32,8,0,99,10,10,10,9,FALSE,0.33,"Autumn","2011","very high","high"
"within an hour",TRUE,1,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,1,1,100,4.4,1125,0,0,0,0,220,35,3,98,10,10,10,10,TRUE,2.12,"Autumn","2011","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Eixample","Private room",2,2,2,40,1,1125,12,12,12,242,1,0,0,100,10,10,10,10,FALSE,0.01,"Autumn","2011","Unknown","Unknown"
"a few days or more",FALSE,134,TRUE,TRUE,"Eixample","Entire home/apt",4,1,2,130,3,1125,30,60,90,354,19,3,0,93,9,10,9,9,FALSE,0.19,"Autumn","2011","low","very low"
